seed,acceptance_angle_deg,amp_rmse,empca_objective_decrease,empca_of_coeff_corr,n_traces,of_truth_corr,template_in_span_angle_deg,weighted_angle_deg,weighted_cosine
0.0,3.8359896694998277,0.06723165096426706,7.62939453125e-06,0.9997883596771929,1024.0,0.9737981189790803,3.8359896694992566,3.8359896694998277,0.9977596422792423
1.0,3.677154258431511,0.07031894704551718,7.62939453125e-06,0.999778748073,1024.0,0.9714869764547336,3.677154258430322,3.677154258431511,0.9979412701303807
2.0,3.8485355263860885,0.07065287358434102,0.0,0.9997902519663956,1024.0,0.9708349701661132,3.8485355263852354,3.8485355263860885,0.9977449693592417
3.0,3.8371274531780633,0.07198021565156852,0.0,0.999782266267413,1024.0,0.9697412606056562,3.837127453177208,3.8371274531780633,0.9977583135647394
4.0,3.8623985833515833,0.068633051729022,0.0,0.9997927315525396,1024.0,0.9725740208147096,3.8623985833513004,3.8623985833515833,0.9977287002813078
5.0,3.9794830945736486,0.06981557724438042,0.0,0.9997829692479154,1024.0,0.9722734477410745,3.9794830945717234,3.9794830945736486,0.9975889652270404
6.0,3.7834423228585807,0.06770214126123415,0.0,0.9997977011155422,1024.0,0.9734642017179924,3.783442322858291,3.7834423228585807,0.9978205788553653
7.0,3.814411586357306,0.07042299142768729,0.0,0.9998013585679948,1024.0,0.971540993100609,3.8144115863579757,3.814411586357306,0.997784766878392
8.0,4.037631194855334,0.06930526285212253,0.0,0.9997756560467315,1024.0,0.9701747234675151,4.0376311948551535,4.037631194855334,0.9975180198706868
9.0,3.9455711110341003,0.06872889504913471,0.0,0.9997616770364711,1024.0,0.9714162370990933,3.9455711110329914,3.9455711110341003,0.9976298662253088
