seed,mean_chi2_per_dof,std_chi2_per_dof,whitened_covariance_relative_error,whitened_lag1_autocorrelation
0.0,0.9978289558383668,0.1218202105636303,0.5070336584038206,-5.849651127212002e-05
1.0,0.9924221764723491,0.1239503378442811,0.5035007760696542,0.004361493089742643
2.0,0.9941528984440199,0.12838688403218002,0.5029454904401967,0.008602991650929554
3.0,0.9949201212209269,0.1272883367203689,0.4995204618036976,0.003929698810775298
4.0,0.9991777701082611,0.1222073006765484,0.5082328055991375,0.006077821411496135
5.0,0.9956397214897459,0.1296022592942236,0.49574931790672094,0.0017544987848803631
6.0,1.0000679372222638,0.12332044409331569,0.5043021300903819,0.00022833323555371916
7.0,0.9984863734906549,0.12870914202636904,0.5060352447533931,0.004719393881726478
8.0,0.9937080251997383,0.12933178402849044,0.5057927415124551,0.008271938688553655
9.0,1.0064013131605807,0.1251313130470553,0.5052749950863878,-0.0014149545247460543
