seed,empca_mse,empca_weighted_residual,max_principal_angle_deg,n_test,pca_mse,pca_weighted_residual
0.0,0.0024824619365643847,0.0024824619365643842,1.2074182697257333e-06,256.0,0.0024824619365643847,0.0024824619365643842
1.0,0.0024641825644446677,0.0024641825644446677,1.4787793334710982e-06,256.0,0.0024641825644446677,0.0024641825644446677
2.0,0.0024736792721772776,0.0024736792721772776,1.7075472925031877e-06,256.0,0.0024736792721772776,0.0024736792721772776
3.0,0.0024706292721780997,0.0024706292721780997,1.4787793334710982e-06,256.0,0.0024706292721780997,0.0024706292721780997
4.0,0.002453129273788376,0.002453129273788376,1.9090959104164224e-06,256.0,0.002453129273788376,0.002453129273788376
5.0,0.002501700289295931,0.002501700289295931,1.7075472925031877e-06,256.0,0.002501700289295931,0.002501700289295931
6.0,0.002487000049680688,0.002487000049680688,8.537736462515939e-07,256.0,0.002487000049680688,0.002487000049680688
7.0,0.002439370397376794,0.002439370397376794,1.2074182697257333e-06,256.0,0.002439370397376794,0.002439370397376794
8.0,0.0024628340943281665,0.0024628340943281665,2.091309789151873e-06,256.0,0.0024628340943281665,0.0024628340943281665
9.0,0.002481171316888373,0.0024811713168883735,1.2074182697257333e-06,256.0,0.002481171316888373,0.0024811713168883735
