seed,n_test,pca_clean_mse_diagnostic,pca_nll_mean,pca_raw_residual_to_observed,pca_weighted_residual_to_observed,rank,subspace_angle_deg_max,weighted_pca_clean_mse_diagnostic,weighted_pca_nll_mean,weighted_pca_raw_residual_to_observed,weighted_pca_weighted_residual_to_observed
0.0,256.0,3005.0208634300197,1031.1713491115113,2511.546070117261,48.61955343448695,2.0,84.40146077165902,44.36090339738777,1020.8447833672435,5494.317523745678,48.13265761893624
1.0,256.0,2890.6830065653508,1023.6261834553598,2352.7842542223398,48.26380015923604,2.0,84.07924010814126,22.501253509256063,1012.9965378454566,5208.498749567066,47.76261417965502
2.0,256.0,2725.4925429312393,1031.2071424064432,2217.1328862540136,48.621241082245035,2.0,89.38088919507685,49.7695128537772,1020.6229287590932,4890.251507579044,48.12219721195835
3.0,256.0,2792.468966833721,1027.5637812719249,2305.624744262328,48.44945722545589,2.0,86.19274227281056,23.795907178719226,1015.9680302242149,5091.476181618941,47.9027195390734
4.0,256.0,3240.2333097195574,1024.823495233455,2388.1987105426565,48.32025320559251,2.0,87.91886620843239,48.683413819457,1012.0237479806457,5549.04829714467,47.7167473032591
5.0,256.0,3228.725793191757,1024.4672236520826,2208.925990435127,48.30345506122721,2.0,85.97002140179313,57.09714181751731,1012.2584094111442,5452.689153745697,47.72781154972887
6.0,256.0,3162.490047363177,1019.8835677348516,2286.9719664671334,48.08733646562704,2.0,83.50746791324234,27.62788864103198,1008.8783898768494,5414.601656222328,47.56844420452592
7.0,256.0,2841.5703168927616,1029.7724522648348,2442.3747944207776,48.55359568649004,2.0,85.05571214395005,42.480089630553096,1018.3577357169689,5226.951710209564,48.01539374593315
8.0,256.0,3084.40511485417,1035.723537193975,2512.6960632382743,48.83418832703887,2.0,88.31164962845924,24.563757875494094,1023.6628998687385,5597.473359615524,48.265531331871635
9.0,256.0,3385.935795726261,1036.0862326267252,2224.739195451692,48.85128935490223,2.0,79.60550042112435,44.630290841819665,1023.0073817896606,5588.514878781629,48.23462376612084
