seed,bias,corr,crb_sigma,n_traces,rmse,sigma_over_crb,std
0.0,-0.0006065657095301619,0.9700396899594447,0.0724572673211879,2048.0,0.07289946667413474,1.006313782770102,0.0729147467671691
1.0,0.0030107833779729476,0.9700181616640222,0.0724572673211879,2048.0,0.07228558725328076,0.9970083097216539,0.07224049761894757
2.0,-0.0019578459850221894,0.9698048979714515,0.0724572673211879,2048.0,0.07337760521122208,1.012588502039325,0.0733693957786246
3.0,-0.0011439438276363277,0.9702689620452063,0.0724572673211879,2048.0,0.0725984459008793,1.002068721422995,0.07260716122234692
4.0,0.003497649387164596,0.9702140420909897,0.0724572673211879,2048.0,0.07203617986013737,0.9932584062125368,0.07196878985795882
5.0,0.0012606919785552108,0.9721838531514357,0.0724572673211879,2048.0,0.07006578099110705,0.9670741150339511,0.07007154767241622
6.0,-0.0009153721418725144,0.9696745427561414,0.0724572673211879,2048.0,0.07232344777907557,0.9983169335170061,0.07233531692311028
7.0,-0.0019509500288753014,0.9698610046647125,0.0724572673211879,2048.0,0.07248191068633775,1.0002218991813694,0.07247334552949074
8.0,-0.0009433189301051473,0.9675321288449202,0.0724572673211879,2048.0,0.07188760261938325,0.9922947888279607,0.07189896877552925
9.0,-0.002367032133339022,0.9705490630863391,0.0724572673211879,2048.0,0.07014913054343311,0.9678298577731898,0.07012630672609928
