seed,identity_sigma_over_oracle,n_noise_traces.0,n_noise_traces.1,n_noise_traces.2,n_noise_traces.3,n_noise_traces.4,oracle_sigma,relative_covariance_error.0,relative_covariance_error.1,relative_covariance_error.2,relative_covariance_error.3,relative_covariance_error.4,sigma_over_oracle.0,sigma_over_oracle.1,sigma_over_oracle.2,sigma_over_oracle.3,sigma_over_oracle.4
0.0,1.8619903022542141,10.0,30.0,100.0,300.0,1000.0,0.08539577740997051,0.8599301917258484,0.5347170561923449,0.2962533453679899,0.21720563529501014,0.08345669768086612,1.703105017206124,1.6735643705692822,1.2425398175902824,1.094109945576885,1.019802534196367
1.0,1.77967069008837,10.0,30.0,100.0,300.0,1000.0,0.08554147825993101,0.9757914943988514,0.49443624078875326,0.36820036099217385,0.15207141085964895,0.08866713801624433,1.752875326862025,1.2980101614652635,1.1409822885742913,1.0711064508963406,1.0373670486944109
2.0,1.7741155902766688,10.0,30.0,100.0,300.0,1000.0,0.08807250840353545,0.8255134253964576,0.4689603558075419,0.2946068622589467,0.16427209047604285,0.08158164385643343,1.9995604230882762,1.447658157345777,1.3313751354516348,1.071008231910228,1.032590508111945
3.0,1.8090013814892159,10.0,30.0,100.0,300.0,1000.0,0.08532271068578143,0.8691386579513444,0.4853930848047596,0.2964305742740999,0.18876857234553104,0.10338889490881757,1.8865925103543444,1.693872727507015,1.1614384933369613,1.0711883555503534,1.0394628663340324
4.0,1.780930294306391,10.0,30.0,100.0,300.0,1000.0,0.08661726900957757,0.8238044267459,0.4361906013380479,0.3317067982049811,0.1750948274947329,0.11587198489249025,1.5775921745096952,1.978593364179896,1.1656064191405906,1.1035170505392533,1.0588419223541068
5.0,1.746600842727791,10.0,30.0,100.0,300.0,1000.0,0.08822698404124737,0.8026595799201757,0.47264752879933813,0.29435672183293893,0.18227005241387678,0.09344352031633617,1.7394062356960702,1.3013541625013811,1.1642089605041377,1.0718537137430046,1.0239754826409
6.0,1.8122611332829965,10.0,30.0,100.0,300.0,1000.0,0.08615824463102711,0.9263550776867225,0.4729879381072884,0.33880731489856336,0.17695547370215015,0.0938109283411957,1.5565779622471032,1.418373570346368,1.1091988239038313,1.0501921771674878,1.0343932960382645
7.0,1.7316523370740546,10.0,30.0,100.0,300.0,1000.0,0.08866021384972488,0.8926068900951072,0.46062664118191515,0.3017891750514186,0.13070622496419215,0.09523396297403673,1.7271453721249623,1.4925555764451064,1.1824114875809149,1.0529527191120673,1.0305229961544917
8.0,1.8676806715632934,10.0,30.0,100.0,300.0,1000.0,0.08239361902583191,0.7607473849249841,0.4415773125448918,0.33419308156662436,0.21434662423488696,0.1085627810502756,1.7021819447368456,1.5614384339637943,1.1442160968749282,1.0819091189133438,1.0140708388048103
9.0,1.7946035442490833,10.0,30.0,100.0,300.0,1000.0,0.08771490264993459,0.7973747274708669,0.7878241828565792,0.2993192361802214,0.16253960882103466,0.08334396809044205,1.685492130677289,1.5752931076894598,1.1709531617542408,1.0562359644788737,1.025302130972305
