seed,correlation_strength,diagonal_covariance_sigma,diagonal_over_full_sigma,diagonal_true_weighted_residual,full_covariance_sigma,full_true_weighted_residual
0.0,0.4,0.09536900142483953,1.0335420325644011,0.9916371310932235,0.09227394573224286,0.9910781592366482
1.0,0.4,0.09198168102777589,1.0421554393451873,0.9882952172791257,0.08826099980399307,0.987721432636021
2.0,0.4,0.09616672253329513,1.020108182606691,0.9885772890555573,0.09427110199975017,0.9880370743871727
3.0,0.4,0.09619214868192007,1.0234887729030318,0.9864153377842985,0.09398456654202458,0.9858588878376112
4.0,0.4,0.09990602092701062,1.011073625696664,0.9855654132760583,0.09881181586372802,0.9850612687001474
5.0,0.4,0.09812608001792841,1.0227051725112333,0.9890906345801996,0.09594757380270373,0.9885662326340487
6.0,0.4,0.09625211270764325,1.0279669666538735,0.9874710489679279,0.09363346861324998,0.9869137521509418
7.0,0.4,0.09242160244170838,1.0185582803604025,0.9884464954192379,0.09073766737138134,0.9879158481511154
8.0,0.4,0.09329286250115976,1.0244048365956004,0.9942985558049579,0.09107030655106965,0.9937901453864348
9.0,0.4,0.09505580733152565,1.0250695547225057,0.9968398834549352,0.09273108043605684,0.9962428938778203
